X,Beta,u,Y
6.567374131,2,1.720540336,14.8552886
3.641890447,2,-0.254142986,7.029637909
1.053877496,2,0.450904672,2.558659664
5.279836244,2,0.859055163,11.41872765
9.800438365,2,-1.299499062,18.30137767
0.67186792,2,0.355535388,1.699271229
6.871887312,2,1.273983881,15.0177585
8.335741428,2,-0.869103059,15.8023798
6.979246416,2,1.361781695,15.32027453
1.26357475,2,-9.24073659,-6.713587091
0.580170444,2,-4.525273805,-3.364932917
2.104711342,2,2.213371816,6.4227945
0.055119765,2,-3.189905391,-3.07966586
0.776377754,2,0.540094337,2.092849845
7.556297702,2,6.873999629,21.98659503
7.282568206,2,6.025060116,20.59019653
0.067849296,2,3.607489245,3.743187838
6.19576779,2,14.6556326,27.04716818
4.888587835,2,-3.188099314,6.589076357
3.623030468,2,7.113145658,14.35920659
